label,A_pct,B_pct,C_pct,D_pct,score_mean,score_median,score_std,score_null,null_MACD趋势,null_金叉信号,null_柱状动能,null_DIF斜率,null_背离信号,null_量价配合,null_K线形态,elapsed_s
SCORING_PARAMS.cross_decay_days=20_SCORING_PARAMS.cross_decay_min=0.5_SCORING_PARAMS.kline_decay_days=5_SCORING_PARAMS.kline_decay_min=0.3,0.2,5.7,41.6,52.4,8.38,0.0,19.57,0,0.0,0.0,0.0,0.0,0.0,0.0,,134.3
SCORING_PARAMS.cross_decay_days=20_SCORING_PARAMS.cross_decay_min=0.5_SCORING_PARAMS.kline_decay_days=10_SCORING_PARAMS.kline_decay_min=0.1,0.2,5.6,41.8,52.4,8.38,0.0,19.56,0,0.0,0.0,0.0,0.0,0.0,0.0,,133.9
SCORING_PARAMS.cross_decay_days=20_SCORING_PARAMS.cross_decay_min=0.5_SCORING_PARAMS.kline_decay_days=10_SCORING_PARAMS.kline_decay_min=0.2,0.2,5.7,41.6,52.4,8.45,0.0,19.7,0,0.0,0.0,0.0,0.0,0.0,0.0,,133.9
SCORING_PARAMS.cross_decay_days=20_SCORING_PARAMS.cross_decay_min=0.5_SCORING_PARAMS.kline_decay_days=10_SCORING_PARAMS.kline_decay_min=0.3,0.2,5.7,41.6,52.4,8.45,0.0,19.7,0,0.0,0.0,0.0,0.0,0.0,0.0,,134.0
SCORING_PARAMS.cross_decay_days=20_SCORING_PARAMS.cross_decay_min=0.5_SCORING_PARAMS.kline_decay_days=20_SCORING_PARAMS.kline_decay_min=0.1,0.3,5.7,41.5,52.4,8.55,0.0,19.9,0,0.0,0.0,0.0,0.0,0.0,0.0,,137.6
SCORING_PARAMS.cross_decay_days=20_SCORING_PARAMS.cross_decay_min=0.5_SCORING_PARAMS.kline_decay_days=20_SCORING_PARAMS.kline_decay_min=0.2,0.3,5.7,41.5,52.4,8.57,0.0,19.93,0,0.0,0.0,0.0,0.0,0.0,0.0,,136.5
SCORING_PARAMS.cross_decay_days=20_SCORING_PARAMS.cross_decay_min=0.5_SCORING_PARAMS.kline_decay_days=20_SCORING_PARAMS.kline_decay_min=0.3,0.3,5.7,41.5,52.4,8.57,0.0,19.93,0,0.0,0.0,0.0,0.0,0.0,0.0,,136.3
SCORING_PARAMS.cross_decay_days=30_SCORING_PARAMS.cross_decay_min=0.2_SCORING_PARAMS.kline_decay_days=5_SCORING_PARAMS.kline_decay_min=0.1,0.3,5.4,41.9,52.4,8.28,0.0,19.4,0,0.0,0.0,0.0,0.0,0.0,0.0,,137.1
SCORING_PARAMS.cross_decay_days=30_SCORING_PARAMS.cross_decay_min=0.2_SCORING_PARAMS.kline_decay_days=5_SCORING_PARAMS.kline_decay_min=0.2,0.3,5.6,41.6,52.4,8.4,0.0,19.62,0,0.0,0.0,0.0,0.0,0.0,0.0,,133.9
SCORING_PARAMS.cross_decay_days=30_SCORING_PARAMS.cross_decay_min=0.2_SCORING_PARAMS.kline_decay_days=5_SCORING_PARAMS.kline_decay_min=0.3,0.3,5.6,41.6,52.4,8.4,0.0,19.62,0,0.0,0.0,0.0,0.0,0.0,0.0,,143.5
