date,close,open,high,low,volume,amount,code,name
2026-04-15,2825.38,2837.75,2862.43,2789.88,4.05319896,34.102953774,801016,种植业
2026-04-16,2861.66,2826.64,2878.82,2793.03,4.7748317,38.205455101300004,801016,种植业
2026-04-17,2835.59,2851.12,2884.19,2804.83,4.0615336,32.9903356202,801016,种植业
2026-04-20,2868.37,2845.62,2887.35,2817.42,4.46143873,37.2321814783,801016,种植业
2026-04-21,2854.17,2870.11,2903.16,2812.73,4.80900305,37.314632085599996,801016,种植业
2026-04-22,2836.02,2851.38,2892.85,2805.05,5.271767,48.098945245100005,801016,种植业
2026-04-23,2870.59,2835.23,2908.48,2789.84,5.60959808,51.771375964499995,801016,种植业
2026-04-24,2858.69,2863.66,2929.68,2824.99,4.85487387,51.961940812200005,801016,种植业
2026-04-27,2843.58,2854.5,2890.37,2787.83,5.88119614,52.0549574648,801016,种植业
2026-04-28,2856.3,2844.45,2887.33,2808.79,5.21234827,45.8722595289,801016,种植业
2026-04-29,2893.14,2834.89,2932.53,2813.01,6.44664954,61.3425160014,801016,种植业
2026-04-30,2901.87,2882.63,2930.69,2848.94,5.6792826,50.1738286182,801016,种植业
2026-05-06,2909.81,2910.18,2944.11,2870.21,5.86739867,51.0417473277,801016,种植业
2026-05-07,2895.09,2906.3,2942.23,2856.54,5.94902336,49.567671611499996,801016,种植业
2026-05-08,2915.18,2894.66,2953.0,2878.21,5.02195658,42.326202448000004,801016,种植业
2026-05-11,2919.2,2923.09,2970.04,2887.83,5.63462673,46.9755619878,801016,种植业
2026-05-12,2862.98,2919.43,2939.21,2844.38,5.26146241,42.474775876500004,801016,种植业
2026-05-13,2896.5,2869.56,2936.44,2842.77,5.33228824,41.8001550029,801016,种植业
2026-05-14,2827.9,2894.31,2909.15,2817.47,4.96146335,38.398565397,801016,种植业
2026-05-15,2764.56,2819.63,2835.97,2735.31,5.26047271,41.0447617709,801016,种植业
2026-05-18,2743.39,2755.71,2792.46,2699.56,4.13883654,33.4201262091,801016,种植业
2026-05-19,2728.76,2745.54,2770.06,2681.8,3.73753835,29.353226236199998,801016,种植业
2026-05-20,2676.06,2714.02,2734.11,2638.28,4.18442495,30.9892591165,801016,种植业
2026-05-21,2581.17,2678.13,2704.39,2572.99,4.47138654,33.7844759312,801016,种植业
2026-05-22,2581.12,2595.56,2620.44,2541.13,3.90737711,27.9058717957,801016,种植业
2026-05-25,2548.24,2583.23,2599.87,2526.12,3.29937993,24.6825638709,801016,种植业
2026-05-26,2519.09,2534.99,2551.07,2476.25,3.70224716,25.7400569767,801016,种植业
2026-05-27,2507.33,2523.86,2577.84,2461.96,4.58255291,32.352891935500004,801016,种植业
2026-05-28,2481.67,2491.94,2526.29,2435.38,3.67172039,25.726798702399996,801016,种植业
2026-05-29,2477.11,2479.3,2525.3,2445.71,4.23031998,29.2703297653,801016,种植业
2026-06-01,2549.69,2471.89,2571.85,2456.92,4.83970737,34.661153475300004,801016,种植业
2025-05-21,745.41,753.31,763.39,742.31,1.00532594,3.6391064548000003,801015,渔业
2025-05-22,733.59,743.62,749.04,730.81,1.01079468,3.6871115356999997,801015,渔业
2025-05-23,722.62,734.47,741.52,719.05,1.00423704,3.8015999351,801015,渔业
2025-05-26,731.91,722.31,738.59,717.82,0.78818754,3.0580202830000003,801015,渔业
2025-05-27,744.08,731.68,747.77,730.02,1.10051188,4.138062196,801015,渔业
2025-05-28,742.07,743.46,748.43,733.65,0.89721403,3.4921501526,801015,渔业
2025-05-29,745.61,739.86,748.39,734.46,0.88997408,3.404202002,801015,渔业
2025-05-30,741.37,743.95,759.36,736.25,1.56599807,5.94686294,801015,渔业
2025-06-03,755.32,733.63,759.03,729.27,1.4705535,5.8689940044,801015,渔业
2025-06-04,767.67,753.98,769.76,748.76,1.71672253,6.5309691737,801015,渔业
2025-06-05,751.56,769.03,772.71,746.49,1.39980184,5.4793478245000005,801015,渔业
2025-06-06,751.33,752.69,758.38,744.97,0.89500418,3.5770312458999998,801015,渔业
2025-06-09,761.11,753.52,764.83,749.12,0.977483,4.0132737894999995,801015,渔业
2025-06-10,756.31,761.96,766.73,743.93,1.20893454,4.8253767134,801015,渔业
2025-06-11,760.0,753.92,765.59,751.64,1.05253446,4.0885163941,801015,渔业
2025-06-12,753.33,756.66,759.78,744.15,0.89524731,3.4838652098000003,801015,渔业
2025-06-13,740.93,750.85,756.32,737.59,1.11357276,4.369125998,801015,渔业
2025-06-16,746.03,738.32,749.11,732.59,0.78245338,3.3020511666,801015,渔业
2025-06-17,751.73,754.0,775.26,745.93,1.6805617,8.1504355811,801015,渔业
2025-06-18,734.61,749.03,753.26,731.72,1.24053543,5.7703533584,801015,渔业
2025-06-19,720.34,733.6,739.94,716.76,1.04491206,4.2959248785,801015,渔业
2025-06-20,717.18,721.32,731.31,714.77,0.69665768,2.8141678783999997,801015,渔业
2025-06-23,728.23,714.37,731.26,707.42,0.6902847,2.9063456,801015,渔业
2025-06-24,738.79,727.97,740.08,724.31,0.77921301,3.2450440684,801015,渔业
2025-06-25,742.62,738.83,750.42,732.18,0.8953849,4.0408234952,801015,渔业
2025-06-26,749.17,743.07,755.13,739.1,1.150156,4.6578435877999995,801015,渔业
2025-06-27,752.31,750.72,761.31,745.26,1.0070132,4.1436747065,801015,渔业
2025-06-30,754.88,768.2,772.35,750.96,1.06951325,4.3092744544,801015,渔业
2025-07-01,754.12,754.0,760.53,746.99,0.86410178,3.6008752482,801015,渔业
2025-07-02,845.04,780.7,849.41,771.71,7.67232182,31.9805582047,801015,渔业
2025-07-03,803.6,834.36,843.0,793.69,6.9538514,29.7285213251,801015,渔业
2025-07-04,790.93,802.19,814.6,781.89,4.36281446,18.182018124200003,801015,渔业
2025-07-07,784.51,784.14,790.83,771.49,2.49612195,9.9203212866,801015,渔业
2025-07-08,791.9,786.28,793.32,778.76,2.19500678,8.9127692922,801015,渔业
2025-07-09,782.59,790.09,793.14,779.34,2.00336366,8.202110166,801015,渔业
2025-07-10,785.59,782.34,792.68,777.16,1.58699538,6.2033777363,801015,渔业
2025-07-11,787.98,787.07,793.41,781.54,1.55427013,6.219867708,801015,渔业
2025-07-14,790.2,789.54,795.62,783.3,1.28410733,6.013688116,801015,渔业
2025-07-15,781.3,791.03,803.64,772.95,2.07374181,8.7750618088,801015,渔业
2025-07-16,787.81,784.73,794.61,779.51,1.26987494,5.6570102649,801015,渔业
2025-07-17,789.15,787.16,799.38,783.89,1.29399117,5.7814879971,801015,渔业
2025-07-18,797.19,790.96,801.41,785.79,1.69819599,7.483763729600001,801015,渔业
2025-07-21,807.67,797.32,811.3,791.38,1.80387925,7.4898547621,801015,渔业
